Date,Open,High,Low,Close,Adj Close,Volume
2021-03-25,60.060001,60.430000,59.259998,59.880001,57.886368,5922900
2021-03-26,59.930000,61.619999,59.740002,61.500000,59.452435,6934600
2021-03-29,61.230000,62.209999,60.459999,62.160000,60.090458,6180100
2021-03-30,60.959999,61.060001,59.450001,59.880001,57.886368,6399200
2021-03-31,59.880001,60.959999,59.509998,60.270000,58.263386,7149800
2021-04-01,61.029999,61.910000,60.250000,61.810001,59.752110,6514100
2021-04-05,62.000000,63.130001,61.700001,62.490002,60.409473,6140500
2021-04-06,62.799999,63.430000,62.540001,62.799999,60.709152,6258500
2021-04-07,62.799999,63.160000,61.689999,62.009998,59.945450,5630800
2021-04-08,62.330002,62.849998,61.709999,61.799999,59.742447,6986100
2021-04-09,60.919998,61.790001,60.820000,61.509998,59.462101,4883700
2021-04-12,61.250000,61.369999,60.430000,60.610001,58.592068,5368100
2021-04-13,60.880001,62.419998,60.790001,62.250000,60.177464,6028300
2021-04-14,62.380001,62.660000,61.669998,61.849998,59.790779,3976100
2021-04-15,62.599998,65.209999,62.430000,64.779999,62.623226,7805200
2021-04-16,65.559998,65.870003,64.900002,65.410004,63.232258,6398600
2021-04-19,65.199997,65.290001,64.129997,64.849998,62.690903,5471500
2021-04-20,64.959999,66.320000,64.720001,65.839996,63.647930,5788900
2021-04-21,66.029999,66.989998,65.610001,66.820000,64.595306,5169400
2021-04-22,66.220001,66.389999,65.220001,65.699997,63.512592,4785800
2021-04-23,66.400002,66.639999,65.489998,65.720001,63.531937,4877800
2021-04-26,65.730003,65.809998,65.160004,65.279999,63.106583,4052700
2021-04-27,65.180000,65.370003,64.139999,64.209999,62.072208,4396100
2021-04-28,63.779999,64.750000,63.540001,64.199997,62.062538,5609200
2021-04-29,63.240002,63.549999,60.849998,62.310001,60.235470,8363300
2021-04-30,62.040001,63.060001,61.970001,62.410000,60.332138,5186000
2021-05-03,63.480000,64.870003,63.139999,64.459999,62.313885,5898800
2021-05-04,64.349998,65.410004,63.439999,64.019997,61.888531,5960300
2021-05-05,64.529999,65.010002,63.610001,64.839996,62.681232,5450800
2021-05-06,65.559998,67.019997,65.559998,66.889999,64.662987,8615700
2021-05-07,67.610001,67.959999,66.580002,67.330002,65.088333,8077200
2021-05-10,68.500000,69.470001,68.089996,68.349998,66.074371,9143400
2021-05-11,67.660004,68.879997,67.019997,68.779999,66.490059,6323200
2021-05-12,69.169998,69.389999,67.760002,67.860001,65.600685,5649700
2021-05-13,67.500000,69.330002,67.169998,68.919998,66.625397,5325200
2021-05-14,69.610001,70.919998,69.220001,70.750000,68.394470,6538700
2021-05-17,71.250000,74.239998,70.709999,74.000000,71.536255,17584300
2021-05-18,73.879997,74.779999,73.029999,74.379997,71.903603,8940800
2021-05-19,73.900002,75.309998,72.940002,73.660004,71.207588,11686800
2021-05-20,73.459999,74.339996,73.099998,73.849998,71.391258,6743400
2021-05-21,74.250000,74.459999,73.129997,73.529999,71.081909,5927900
2021-05-24,73.849998,74.510002,73.489998,74.080002,71.613602,5758600
