Date,Open,High,Low,Close,Adj Close,Volume
2021-05-19,885.799988,904.000000,852.799988,890.400024,890.319702,3027302
2021-05-20,890.400024,898.583984,857.799988,879.000000,878.920654,3544927
2021-05-21,876.200012,897.861023,868.000000,882.000000,881.920410,2801754
2021-05-24,883.599976,888.599976,853.599976,867.599976,867.521667,2126248
2021-05-25,867.599976,879.052979,854.000000,869.000000,868.921570,3320004
2021-05-26,880.000000,887.200012,857.599976,878.400024,878.320740,3698802
2021-05-27,882.000000,913.000000,876.000000,913.000000,912.917603,14793251
2021-05-28,911.200012,914.599976,895.400024,897.599976,897.518982,2681169
2021-06-01,912.000000,931.320984,901.481018,915.000000,914.917419,2312832
2021-06-02,913.599976,916.799988,903.799988,910.000000,909.917908,1742162
2021-06-03,910.000000,910.000000,863.000000,865.599976,865.521851,2013637
2021-06-04,867.599976,878.000000,849.000000,875.400024,875.321045,1682307
2021-06-07,871.599976,876.599976,854.599976,863.799988,863.722046,1543844
2021-06-08,864.200012,873.400024,854.599976,865.799988,865.721863,1304468
2021-06-09,862.200012,863.643982,849.200012,856.000000,855.922729,1260224
2021-06-10,853.200012,858.200012,838.797974,850.000000,849.923279,1112099
2021-06-11,865.000000,877.989014,850.799988,860.599976,860.522339,2108446
2021-06-14,858.000000,862.000000,840.200012,861.799988,861.722229,1957496
2021-06-15,870.599976,870.599976,838.000000,838.000000,837.924377,1117234
2021-06-16,842.400024,846.799988,824.000000,833.200012,833.124817,1196718
2021-06-17,820.000000,820.599976,800.599976,805.200012,805.127319,2022227
2021-06-18,812.000000,835.000000,812.000000,823.400024,823.325745,1976505
2021-06-21,821.400024,827.000000,813.599976,821.799988,821.725830,996472
2021-06-22,822.400024,832.916992,815.799988,827.599976,827.525269,819284
2021-06-23,827.599976,830.200012,806.200012,814.000000,813.926514,1054320
2021-06-24,811.000000,819.400024,807.400024,807.400024,807.327148,913685
2021-06-25,808.000000,812.000000,801.799988,806.400024,806.327271,1047796
2021-06-28,807.200012,813.799988,799.799988,801.000000,800.927734,1222346
2021-06-29,799.000000,800.492004,783.400024,786.400024,786.329041,1735231
2021-06-30,790.000000,790.000000,769.599976,771.599976,771.530334,1449603
2021-07-01,785.200012,817.599976,781.752014,796.000000,795.928162,1259504
2021-07-02,802.599976,805.400024,786.599976,805.400024,805.327332,836381
2021-07-05,806.799988,816.200012,805.776001,812.000000,811.926697,596884
2021-07-06,816.799988,823.799988,807.200012,815.400024,815.326416,1032546
2021-07-07,820.000000,828.599976,812.000000,823.799988,823.725647,869066
2021-07-08,815.000000,817.400024,792.000000,801.200012,801.127686,1458564
2021-07-09,805.000000,808.995972,790.400024,800.599976,800.527710,628533
2021-07-12,808.200012,808.200012,783.000000,790.400024,790.328674,886949
2021-07-13,793.400024,815.400024,791.000000,815.000000,814.926453,1203384
2021-07-14,811.400024,822.799988,801.799988,816.000000,815.926392,697892
2021-07-15,814.599976,824.599976,809.599976,817.200012,817.126282,809600
2021-07-16,821.799988,822.200012,794.771973,794.799988,794.728271,691869
2021-07-19,811.000000,811.000000,777.427002,792.799988,792.728455,1015336
2021-07-20,799.400024,800.200012,766.200012,769.000000,768.930603,1318686
2021-07-21,766.799988,774.830017,753.000000,762.599976,762.531128,1180887
2021-07-22,762.000000,768.799988,754.578003,758.000000,757.931580,542609
2021-07-23,766.200012,766.200012,743.445984,745.200012,745.132751,915935
2021-07-26,745.599976,762.799988,742.799988,759.000000,758.931519,543069
2021-07-27,754.200012,760.599976,742.599976,754.000000,753.931946,890796
2021-07-28,761.799988,810.400024,753.799988,806.400024,806.327271,1378345
2021-07-29,823.799988,833.400024,815.200012,820.599976,820.525940,990092
2021-07-30,819.400024,827.799988,816.799988,818.200012,818.126160,1096545
2021-08-02,817.799988,824.799988,800.135010,822.799988,822.725708,888180
2021-08-03,819.000000,849.000000,819.000000,838.400024,838.324341,1335163
2021-08-04,829.200012,833.599976,807.799988,811.400024,811.326782,1054967
2021-08-05,809.200012,817.400024,804.200012,815.400024,815.326416,866269
2021-08-06,811.200012,822.400024,785.000000,793.799988,793.728333,2314906
2021-08-09,788.200012,803.599976,778.599976,783.200012,783.129333,740848
2021-08-10,788.000000,789.799988,767.799988,772.200012,772.130310,1270493
2021-08-11,775.200012,794.799988,771.422974,791.599976,791.528564,750796
2021-08-12,787.000000,800.799988,781.000000,791.799988,791.799988,1273548
2021-08-13,798.000000,801.599976,777.400024,797.599976,797.599976,611623
2021-08-16,794.599976,815.400024,790.200012,812.200012,812.200012,858238
2021-08-17,807.000000,842.000000,804.799988,826.599976,826.599976,1192483
2021-08-18,835.000000,835.000000,823.487976,831.000000,831.000000,1057017
2021-08-19,821.400024,842.000000,812.599976,835.799988,835.799988,1238183
2021-08-20,835.200012,841.000000,826.599976,835.400024,835.400024,934214
2021-08-23,837.000000,846.599976,829.599976,846.200012,846.200012,901624
2021-08-24,848.000000,850.200012,840.205017,845.400024,845.400024,574194
2021-08-25,840.599976,842.052979,827.799988,836.000000,836.000000,661919
2021-08-26,833.200012,838.000000,822.200012,836.400024,836.400024,373021
2021-08-27,844.599976,852.229980,838.799988,845.799988,845.799988,1120947
2021-08-31,852.000000,862.799988,847.799988,854.000000,854.000000,2512300
2021-09-01,854.599976,856.400024,833.864990,844.000000,844.000000,1416171
2021-09-02,841.799988,850.599976,831.400024,833.200012,833.200012,1078865
2021-09-03,843.599976,867.200012,834.400024,862.400024,862.400024,1122266
2021-09-06,869.799988,870.799988,850.000000,858.000000,858.000000,633151
2021-09-07,851.599976,861.437988,847.200012,848.400024,848.400024,955066
2021-09-08,842.599976,850.799988,838.400024,849.799988,849.799988,755113
2021-09-09,835.599976,855.200012,835.166992,844.599976,844.599976,656532
2021-09-10,850.000000,851.200012,834.799988,835.599976,835.599976,452068
2021-09-13,837.200012,843.200012,828.400024,843.200012,843.200012,11928
2021-09-14,839.200012,852.599976,836.799988,841.000000,841.000000,710925
2021-09-15,848.000000,849.799988,834.169983,848.000000,848.000000,882812
2021-09-16,847.000000,851.799988,816.000000,816.400024,816.400024,1038492
